,year,title,album,artist,lyrics
471,,She's No Good,,Bob Dylan,"Well, I don't know why I love you like I do
Nobody in the world can get along with you
You got the ways of a devil sleeping in a lion's den
I come home last night, you wouldn't even let me in

Well, sometimes you're as sweet as anybody want to be
When you get a crazy notion jumpin' all over me
Well, you give me the blues, I guess you're satisfied
An' you give me the blues, I wanna lay down and die

I helped you when you had no shoes on your feet, pretty mama
I helped you when you had no food to eat
You're the kind of woman I just don't understand
You're takin' all my money and give it to another man

Well, you're the kinda woman makes a man lose his brains
You're the kinda woman drives a man insane
You give me the blues, I guess you're satisfied
You give me the blues, I wanna lay down and die
Well, you give me the blues, I wanna lay down and die"
472,,She's Your Lover Now,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Bob Dylan,"[Verse 1]
The pawnbroker roared
Also, so, so did the landlord
The scene was so crazy, wasn’t it?
Both were so glad
To watch me destroy what I had
Pain sure brings out the best in people, doesn’t it?
Why didn’t you just leave me if you didn’t want to stay?
Why’d you have to treat me so bad?
Did it have to be that way?
Now you stand here expectin’ me to remember something’ you forgot to say
Yes, and you, I see you’re still with her, well
That’s fine ’cause she’s comin’ on so strange, can’t you tell?
Somebody had better explain
She’s got her iron chain
I’d do it, but I, I just can’t remember how
You talk to her
She’s your lover now

[Verse 2]
I already assumed
That we’re in the felony room
But I ain’t a judge, you don’t have to be nice to me
But please tell that
To your friend in the cowboy hat
You know he keeps on saying’ everything’ twice to me
You know I was straight with you
You know I’ve never tried to change you in any way
You know if you didn’t want to be with me
That you could, didn’t have to stay
Now you stand here sayin’ you forgive and forget. Honey, what can I say?
Yes, you, you just sit around and ask for ashtrays, can’t you reach?
I see you kiss her on the cheek ev’rytime she gives a speech
With her picture books of the pyramid
And her postcards of Billy the Kid (why must everybody bow?)
You better talk to her ’bout it
You’re her lover now

[Verse 3]
Oh, everybody that cares
Is going up the castle stairs
But I’m not up in your castle, honey
It’s true, I just can’t recall
San Francisco at all
I can’t even remember El Paso, uh, honey
You never had to be faithful
I never wanted you to grieve
Oh, why was it so hard for you
If you didn’t want to be with me, just to leave?
Now you stand here while your finger’s going’ up my sleeve
An’ you, just what do you do anyway?
Ain’t there nothing’ you can say?
She’ll be standing’ on the bar soon
With a fish head and a harpoon
And a fake beard plastered on her brow
You’d better do something quick
She’s your lover now

[Verse 4]
Oh, why must I fall into this sadness?
Do I look like Charles Atlas?
Do you think I still got what you still got baby?
My voice is really warm
It's just there, it ain't got no form
But it's just like a dead man's last pistol shot, baby
Ah, your mouth used to be so naked
Your eyes used to be so blue
Your hurts used to be so nameless
And your tears used to be so few
Now your mouth cries wolf
While... (What?)"
473,1989-09-18,Shooting Star,Oh Mercy,Bob Dylan,"[Verse 1]
Seen a shooting star tonight
And I thought of you
You were trying to break into another world
A world I never knew
I always kind of wondered
If you ever made it through
Seen a shooting star tonight
And I thought of you

[Verse 2]
Seen a shooting star tonight
And I thought of me
If I was still the same
If I ever became what you wanted me to be
Did I miss the mark or overstep the line
That only you could see?
Seen a shooting star tonight
And I thought of me

[Verse 3]
Listen to the engine, listen to the bell
As the last fire truck from hell
Goes rolling by
All good people are praying
It’s the last temptation, the last account
The last time you might hear the sermon on the mount
The last radio is playing

[Verse 4]
Seen a shooting star tonight
Slip away
Tomorrow will be
Another day
Guess it’s too late to say the things to you
That you needed to hear me say
Seen a shooting star tonight
Slip away"
474,1981-08-10,Shot Of Love,Shot of Love,Bob Dylan,"[Chorus]
I need a shot of love, I need a shot of love

[Verse 1]
Don’t need a shot of heroin to kill my disease
Don’t need a shot of turpentine, only bring me to my knees
Don’t need a shot of codeine to help me to repent
Don’t need a shot of whiskey, help me be president

[Chorus]

[Verse 2]
Doctor, can you hear me? I need some Medicaid
I seen the kingdoms of the world and it’s making me feel afraid
What I got ain’t painful, it’s just bound to kill me dead
Like the men that followed Jesus when they put a price upon His head

[Chorus]

[Verse 3]
I don’t need no alibi when I’m spending time with you
I’ve heard all of them rumors and you have heard them too
Don’t show me no picture show or give me no book to read
It don’t satisfy the hurt inside nor the habit that it feeds

[Chorus]

[Verse 4]
Why would I want to take your life?
You’ve only murdered my father, raped his wife
Tattooed my babies with a poison pen
Mocked my God, humiliated my friends

[Chorus]

[Verse 5]
Don’t want to be with nobody tonight
Veronica not around nowhere, Mavis just ain’t right
There’s a man that hates me and he’s swift, smooth and near
Am I supposed to set back and wait until he’s here?

[Chorus]

[Verse 6]
What makes the wind want to blow tonight?
Don’t even feel like crossing the street and my car ain’t actin’ right
Called home, everybody seemed to have moved away
My conscience is beginning to bother me today

[Chorus]

[Outro]
I need a shot of love, I need a shot of love
If you’re a doctor, I need a shot of love"
475,,Sign on the Cross,,Bob Dylan,"Now, I try, oh for so awfully long
An' I just try to be
An' now, oh it's a gold mine
But it's free
Yes, but I know in my head
That we're all so misled
And it's that old sign on the cross
That worries me

Now, when I was just a bawlin' lad
I saw what I wanted to be
An' it's all for the sake
Of that I should see
But I was lost on the land
As I heard that front door slam
And that old sign on the cross
Worries me

Well, it's that old sign on the cross
Well, it's that old key to the kingdom
Well, it's that old sign on the cross
Like used to be

But, when I hold my head so high
As I see my old friends go by
An' it's still that sign on the cross
That worries me

Well, it seems to be the sign on the cross
Every day, every night
See the sign on the cross just layin' up on top of the hill
Yes, we thought it might have disappeared long ago
But I'm here to tell you, friends that I'm afraid
It's lyin' there still
Yes, just a little time is all you need, you might say
But I don't know 'bout that any more
Because the bird is here and you might want to enter it
But, of course, the door might be closed
But I just would like to tell you one time
If I don't see you again, that the thing is
That the sign on the cross is the sign you might need the most

Well the sign on the cross
Is just a sign (??) too
Well, there is some in every prison
And there is some in the penitentiary, too
Oh, when your, when your days are numbered
And your nights are long
You might think you're weak
But I mean to say you're strong
Yes you are, if that sign on the cross
If it begins to worry you
Well, that's all right because sing a song
And all your troubles will pass right on through"
476,1970-10-19,Sign On The Window,New Morning,Bob Dylan,"[Verse 1]
Sign on the window says “Lonely”
Sign on the door said “No Company Allowed”
Sign on the street says “Y’ Don’t Own Me”
Sign on the porch says “Three’s A Crowd”
Sign on the porch says “Three’s A Crowd”

[Verse 2]
Her and her boyfriend went to California
Her and her boyfriend done changed their tune
My best friend said, “Now didn't I warn you
Brighton girls are like the moon
Brighton girls are like the moon”

[Break]
Looks like a-nothing but rain
Sure gonna be wet tonight on Main Street
Hope that it don’t sleet

[Verse 3]
Build me a cabin in Utah
Marry me a wife, catch rainbow trout
Have a bunch of kids who call me “Pa”
That must be what it’s all about
That must be what it’s all about"
477,,Silent Weekend,,Bob Dylan,"Silent weekend
My baby she gave it to me
Silent weekend
My baby she gave it to me
She's actin' tough and hardy
But I'm sleepin' at the party
And she's leavin' me down in misery

Silent weekend
My baby she took me by the heart
Silent weekend
My baby she took me by the heart
She's thinkin' about disposin'
But I know I know she's dozin'
And she's tearin' it all apart

Silent weekend
Oh lord, I wish monday would come
Silent weekend
Oh lord, I sure wish monday would come
She's uppin' and she's leavin'
But I hate to sit here grievin'
But I just can't sit here playin' dumb

Well, I done a whole lotta thinkin'
'Bout a whole lotta cheatin'
And I, maybe I did please
But I just wallopped a lotta pizza
After makin' our peace
Puts ya down on my bended knees

Silent weekend
Man alive, I'm burnin' up on my brain
Silent weekend
Man alive, I'm burnin' up on my brain
She knows I'm just teasin'
But she's all misbelievin'
And I just don't wanna do it again"
478,,Silver Dagger,"The Bootleg Series, Vol 6: Bob Dylan Live 1964",Bob Dylan,"[Verse]
Don't sing love songs; you'll wake my mother
She's sleeping here, right by my side
And in her right hand, a silver dagger
She says that I can't be your bride
All men are false, says my mother
They'll tell you wicked, loving lies
The very next evening, they'll court another
Leave you alone to pine and sigh
My daddy is a handsome devil
He's got a chain five miles long
And on every link a heart does dangle
Of another maid he's loved and wronged
Go court another tender maiden
And hope that she will be your wife
For I've been warned and I've decided
To sleep alone all of my life"
479,1988-05-30,Silvio,Down In The Groove,Bob Dylan,"[Verse 1]
Stake my future on a hell of a past
Looks like tomorrow is coming on fast
Ain't complaining 'bout what I got
Seen better times, but who has not?

[Chorus]
Silvio
Silver and gold
Won't buy back the beat of a heart grown cold
Silvio
I gotta go
Find out something only dead men know

[Verse 2]
Honest as the next jade rolling that stone
When I come knocking don't throw me no bone
I'm an old boll weevil looking for a home
If you don't like it you can leave me alone

[Verse 3]
I can snap my fingers and require the rain
From a clear blue sky and turn it off again
I can stroke your body and relieve your pain
And charm the whistle off an evening train

[Verse 4]
I give what I got until I got no more
I take what I get until I even the score
You know I love you and furthermore
When it's time to go you got an open door

[Verse 5]
I can tell you fancy, I can tell you plain
You give something up for everything you gain
Since every pleasure's got an edge of pain
Pay for your ticket and don't complain

[Verse 6]
One of these days and it won't be long
Going down in the valley and sing my song
I will sing it loud and sing it strong
Let the echo decide if I was right or wrong

[Chorus]"
480,,Silvio (feat. Ronnie Wood),,Bob Dylan,"Stake my future on a hell of a past
Looks like tomorrow is a coming on fast
Ain't complaining about what I got
Seen better times but who has not

Silvio silver and gold
Won't buy back the beat of a heart grown cold
Silvio I gotta go
Find out something only dead men know

Honest as the next jade rolling that stone
When I come a-knockin' don't throw me no bone
I'm an old boll weevil looking for a home
If you don't like it you can leave me alone

I can snap my fingers and require the rain
From a clear blue sky and turn it off again
I can stroke your body and relieve your pain
And charm the whistle off an evening train

Silvio silver and gold
Won't buy back the beat of a heart grown cold
Silvio I gotta go
Find out something only dead men know

Give what I got until I got no more
I take what I get until I even the score
You know I love you and further more
When it is time to go you got an open door

I can tell your fancy I can tell your plain
You give something up for everything you gain
Since every pleasure's got an edge of pain
Pay for your ticket and don't complain

Silvio silver and gold
Won't buy back the beat of a heart grown cold
Silvio I gotta go
Find out something only dead men know

One of these days and it won't be long
Going down in the valley and sing my song
I will sing it loud and sing it strong
Let the echo decide if I was right or wrong

Silvio silver and gold
Won't buy back the beat of a heart grown cold
Silvio I gotta go
Find out something only dead men know

Silvio silver and gold
Won't buy back the beat of a heart grown cold
Silvio I gotta go
Find out something only dead men know

Silvio silver and gold
Won't buy back the beat of a heart grown cold
Silvio I gotta go
Find out something only dead men know"
481,1975-01-17,Simple Twist of Fate,Blood on the Tracks,Bob Dylan,"[Verse 1]
They sat together in the park
As the evening sky grew dark
She looked at him and he felt a spark
Tingle to his bones
'Twas then he felt alone
And wished that he'd gone straight
And watched out for a simple twist of fate

[Verse 2]
They walked alone by the old canal
A little confused, I remember well
And stopped into a strange hotel
With a neon burning bright
He felt the heat of the night
Hit him like a freight train
Moving with a simple twist of fate

[Verse 3]
A saxophone someplace far-off played
As she was walking on by the arcade
As the light bust through a beat-up shade
Where he was wakin' up
She dropped a coin into the cup
Of a blind man at the gate
And forgot about a simple twist of fate

[Verse 4]
He woke up, the room was bare
He didn't see her anywhere
He told himself he didn't care
Pushed the window open wide
Felt an emptiness inside
To which he just could not relate
Brought on by a simple twist of fate

[Verse 5]
He hears the ticking of the clocks
And walks along with a parrot that talks
Hunts her down by the waterfront docks
Where the sailors all come in
Maybe she'll pick him out again
How long must he wait?
One more time, for a simple twist of fate

[Verse 6]
People tell me it's a sin
To know and feel too much within
I still believe she was my twin
But I lost the ring
She was born in spring
But I was born too late
Blame it on a simple twist of fate"
482,1991-03-26,Sitting On A Barbed Wire Fence,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Bob Dylan,"[Verse 1]
I paid fifteen million dollars, twelve hundred and seventy-two cents
I paid one thousand two hundred twenty-seven dollars and fifty-five cents
See my hound dog bite a rabbit
And my football’s sitting on a barbed-wire fence

[Verse 2]
Yes, my temperature rises and my feet don’t walk so fast
Yes, my temperature rises and my feet don’t walk so fast
Well, this Arabian doctor came in, gave me a shot
But wouldn’t tell me if what I had would last

[Verse 3]
Well, this woman I’ve got, she’s filling me with her drive
Yes, this woman I’ve got, she’s thrilling me with her hive
She’s calling me Stan
Or else she calls me Mister Clive

[Verse 4]
Of course, you’re gonna think this song is a riff
I know you’re gonna think this song is a cliff
Unless you’ve been inside a tunnel
And fell down 69, 70 feet over a barbed-wire fence

[Outro]
All night!"
483,2016-05-20,Skylark,Fallen Angels,Bob Dylan,"Skylark
Have you anything to say to me?
Won't you tell me where my love can be?
Is there a meadow in the mist
Where someone's waiting to be kissed?

Skylark
Have you seen a valley green with spring?
Where my heart can go a journeying
Over the shadows and the rain
To a blossom covered lane

And in your lonely flight
Haven't you heard the music in the night?
Wonderful music, faint as a will o' the wisp
Crazy as a loon, sad as a gypsy serenading the moon

Oh skylark
I don't know if you can find these things
But my heart is riding on your wings
So if you see them anywhere
Won't you lead me there?

Oh skylark
I don't know if you can find these things
But my heart is riding on your wings
So if you see them anywhere
Won't you lead me there?"
484,1979-08-20,Slow Train,Slow Train Coming,Bob Dylan,"[Verse 1]
Sometimes I feel so low-down and disgusted
Can’t help but wonder what’s happening to my companions
Are they lost or are they found
Have they counted the cost it’ll take to bring down
All their earthly principles they’re going to have to abandon?
There’s a slow, slow train coming up around the bend

[Verse 2]
I had a woman down in Alabama
She was a backwoods girl, but she sure was realistic
She said, “Boy, without a doubt
Have to quit your mess and straighten out
You could die down here, be just another accident statistic”
There’s a slow, slow train coming up around the bend

[Verse 3]
All that foreign oil controlling American soil
Look around you, it’s just bound to make you embarrassed
Sheiks walking around like kings
Wearing fancy jewels and nose rings
Deciding America’s future from Amsterdam and to Paris
And there’s a slow, slow train coming up around the bend

[Verse 4]
Man’s ego is inflated, his laws are outdated, they don’t apply no more
You can’t rely no more to be standing around waiting
In the home of the brave
Jefferson turning over in his grave
Fools glorifying themselves, trying to manipulate Satan
And there’s a slow, slow train coming up around the bend

[Verse 5]
Big-time negotiators, false healers and woman haters
Masters of the bluff and masters of the proposition
But the enemy I see
Wears a cloak of decency
All nonbelievers and men stealers talking in the name of religion
And there’s a slow, slow train coming up around the bend

[Verse 6]
People starving and thirsting, grain elevators are bursting
Oh, you know it costs more to store the food than it do to give it
They say lose your inhibitions
Follow your own ambitions
They talk about a life of brotherly love show me someone who knows how to live it
There’s a slow, slow train coming up around the bend

[Verse 7]
Well, my baby went to Illinois with some bad-talking boy she could destroy
A real suicide case, but there was nothing I could do to stop it
I don’t care about the economy
I don’t care about astronomy
But it sure do bother me to see my loved ones turning into puppets
There’s a slow, slow train coming up around the bend"
485,1980-06-23,Solid Rock,Saved,Bob Dylan,"[Chorus]
Well, I’m hanging on to a solid rock
Made before the foundation of the world
And I won’t let go, and I can’t let go, won’t let go
And I can’t let go, won’t let go and I can’t let go no more

[Verse 1]
For me He was chastised, for me He was hated
For me He was rejected by a world that He created
Nations are angry, cursed are some
People are expecting a false peace to come

[Chorus]

[Verse 2]
It’s the ways of the flesh to war against the spirit
Twenty-four hours a day you can feel it and you can hear it
Using all the devices under the sun
And He never give up ’til the battle’s lost or won

[Chorus]"
486,,Somebody Touched Me,,Bob Dylan,"Good evening, ladies and gentlemen!
Would you please welcome Columbia recording artist Bob Dylan

Glory, glory, glory, somebody touched me
Glory, glory, glory, somebody touched me
Glory, glory, glory, somebody touched me
Must have been the hand of the lord

While I was praying, somebody touched me
While I was praying, somebody touched me
While I was praying, somebody touched me
Must have been the hand of the lord

Glory, glory, glory, somebody touched me
Glory, glory, glory, somebody touched me
Glory, glory, glory, somebody touched me
Must have been the hand of the lord

Well, it was on a Sunday, somebody touched me
It was on a Sunday, somebody touched me
It was on a Sunday, somebody touched me
Must have been the hand of the lord

Glory, glory, glory, somebody touched me
Glory, glory, glory, somebody touched me
Glory, glory, glory, somebody touched me
Must have been the hand of the lord"
487,2006-08-29,Someday Baby,Modern Times,Bob Dylan,"[Verse 1]
I don't care what you do, I don't care what you say
I don't care where you go or how long you stay
Someday baby, you are not going to worry po' me any more

[Verse 2]
Well you take my money and you turn me out
You fill me up with nothing but self doubt
Someday baby, you are not going to worry po' me anymore

[Verse 3]
When I was young, driving was my grave
You drive me so hard, almost to the grave
Someday baby, you are not going to worry po' me anymore

[Verse 4]
I'm so hard pressed, my mind tied up in knots
I keep recycling the same old thoughts
Someday baby you are not going to worry Po' me anymore

[Verse 5]
So many good things in life that I overlooked
I don't know what to do now, you got me so hooked
Someday baby you are not going to worry po' me any more

[Verse 6]
Well, I don't want to brag, but I'm going to ring your neck
When all else fails I'll make it a matter of self-respect
Someday baby, you are not going to worry Po' me any more

[Verse 7]
You can take your clothes put him in a sack
You gain' down the road, baby and you can't come back
Someday baby you are not going to worry po' me any more

[Verse 8]
I try to be friendly, I try to be kind
Now I'm gonna drive you from your home, just like I was driven from mine
Someday baby you are not going to worry po' me any more

[Verse 9]
Living this way is not a natural thing to do
Why was I born to love you?
Someday baby, you are not going to worry po' me any more"
488,,Someday Baby (alternate version),,Bob Dylan,"I don't care what you do, don't care what you say
Don't care where you go, or how long you stay
Someday baby, you ain't gonna worry po' me any more

You take my money and you turn me out
You fill me up with self-doubt
Someday baby, you ain't gonna worry po' me any more

You made me eat a ton of dust
You're potentially dangerous and not worthy of trust
Someday baby, you ain't gonna worry po' me any more

Little by little, bit by bit
Every day I'm becomin' more of a hypocrite
Someday baby, you ain't gonna worry po' me any more

You've got my mind tied up in knots
I just keep recyclin' the same old thoughts
Someday baby, you ain't gonna worry po' me any more

When I heard you was cold, I bought you a coat and hat
I think you must have forgotten 'bout that
Someday baby, you ain't gonna worry po' me any more

Gonna blow out your mind and make it pure
I've taken about as much of this as I can endure
Someday baby, you ain't gonna worry po' me any more

You put me down from a haver creak
That's all right, to you i turn the other cheek
Someday baby, you ain't gonna worry po' me any more

You say you need me, how would I know?
You say you love me, but it can't be so
Someday baby, you ain't gonna worry po' me any more

I don't wanna brag, but I'll wring your neck
When all else fails, I'll make it a matter of self-respect
Someday baby, you ain't gonna worry po' me any more

Livin' this way ain't a natural thing to do
Why was I born to love you?
Someday baby, you ain't gonna worry po' me any more"
489,,Someone's Got A Hold Of My Heart,"The Bootleg Series, Vol 1-3: Rare & Unreleased 1961-1991",Bob Dylan,"[Verse 1]
They say, “Eat, drink and be merry
Take the bull by the horns”
I keep seeing visions of you, a lily among thorns
Everything looks a little far away to me

[Verse 2]
Getting’ harder and harder to recognize the trap
Too much information about nothing’
Too much educated rap
It’s just like you told me, just like you said it would be

[Verse 3]
The moon rising like wildfire
I feel the breath of a storm
Something I got to do tonight
You go inside and stay warm

[Chorus]
Someone’s got a hold of my heart
Someone’s got a hold of my heart
Someone’s got a hold of my heart
You
Yeah, you got a hold of my heart

[Verse 4]
Just got back from a city of flaming red skies
Everybody thinks with their stomach
There’s plenty of spies
Every street is crooked, they just wind around till they disappear

[Verse 5]
Madame Butterfly, she lulled me to sleep
Like an ancient river
So wide and deep
She said, “Be easy, baby, ain’t nothin’ worth stealing’ here”

[Verse 6]
You’re the one I’ve been waiting’ for
You’re the one I desire
But you must first realize
I’m not another man for hire

[Chorus]

[Verse 7]
Hear that hot-blooded singer
On the bandstand croon
September song, Memphis in June
While they’re beating the devil out of a guy who’s wearing a powder blue wig

[Verse 8]
I been to Babylon
I gotta confess
I could still hear the voice crying in the wilderness
What looks large from a distance, close up is never that big
Never could learn to drink that blood and call it wine
Never could learn to look at your face and call it mine

[Chorus]"
490,1985-06-10,"Something's Burning, Baby",Empire Burlesque,Bob Dylan,"[Verse 1]
Something is burning, baby, are you aware?
Something is the matter, baby, there’s smoke in your hair
Are you still my friend, baby, show me a sign
Is the love in your heart for me turning blind?

[Verse 2]
You’ve been avoiding the main streets for a long, long while
The truth that I’m seeking is in your missing file
What’s your position, baby, what’s going on?
Why is the light in your eyes nearly gone?

[Verse 3]
I know everything about this place, or so it seems
Am I no longer a part of your plans or your dreams?
Well, it is so obvious that something has changed
What’s happening, baby, to make you act so strange?

[Verse 4]
Something is burning, baby, here’s what I say
Even the bloodhounds of London couldn’t find you today
I see the shadow of a man, baby, making you blue
Who is he, baby, and what’s he to you?

[Verse 5]
We’ve reached the edge of the road, baby, where the pasture begins
Where charity is supposed to cover up a multitude of sins
But where do you live, baby, and where is the light?
Why are your eyes just staring off in the night?

[Verse 6]
I can feel it in the night when I think of you
I can feel it in the light and it’s got to be true
You can’t live by bread alone, you won’t be satisfied
You can’t roll away the stone if your hands are tied

[Verse 7]
Got to start someplace, baby, can you explain?
Please don’t fade away on me, baby, like the midnight train
Answer me, baby, a casual look will do
Just what in the world has come over you?

[Verse 8]
I can feel it in the wind and it’s upside down
I can feel it in the dust as I get off the bus on the outskirts of town
I’ve had the Mexico City blues since the last hairpin curve
I don’t want to see you bleed, I know what you need but it is not what you deserve

[Verse 9]
Something is burning, baby, something’s in flames
There’s a man going around calling names
Ring down when you’re ready, baby, I’m waiting for you
I believe in the impossible, you know that I do"
491,1974-01-17,Something There Is About You,Planet Waves,Bob Dylan,"[Verse 1]
Something there is about you that strikes a match in me
Is it the way your body moves or is it the way your hair blows free?
Or is it because you remind me of something that used to be
Something’ that crossed over from another century?

[Verse 2]
Thought I’d shaken the wonder and the phantoms of my youth
Rainy days on the Great Lakes, walk-in’ the hills of old Duluth
There was me and Danny Lopez, cold eyes, black night and then there was Ruth
Something there is about you that brings back a long-forgotten truth

[Verse 3]
Suddenly I found you and the spirit in me sings
Don’t have to look no further, you’re the soul of many things
I could say that I’d be faithful, I could say it in one sweet, easy breath
But to you that would be cruelty and to me it surely would be death

[Verse 4]
Something there is about you that moves with style and grace
I was in a whirlwind, now I’m in some better place
My hand’s on the sabre and you’ve picked up the baton
Something’ there is about you that I can’t quite put my finger on"
492,1962-03-19,Song To Woody,Bob Dylan,Bob Dylan,"[Verse 1]
I’m out here a thousand miles from my home
Walking a road other men have gone down
I’m seeing your world of people and things
Your paupers and peasants and princes and kings

[Verse 2]
Hey, hey, Woody Guthrie, I wrote you a song
About a funny old world that’s a-coming along
Seems sick and it’s hungry, it’s tired and it’s torn
It looks like it’s a-dying and it’s hardly been born

[Verse 3]
Hey, Woody Guthrie, but I know that you know
All the things that I’m a-saying an a-many times more
I’m a-singing you the song, but I can’t sing enough
Because there’s not many men that done the things that you’ve done

[Verse 4]
Here’s to Cisco and Sonny and Leadbelly too
And to all the good people that traveled with you
Here’s to the hearts and the hands of the men
That come with the dust and are gone with the wind

[Verse 5]
I’m a-leaving tomorrow, but I could leave today
Somewhere down the road someday
The very last thing that I’d want to do
Is to say I’ve been hitting some hard traveling too"
493,2012-09-10,Soon After Midnight,Tempest,Bob Dylan,"[Verse 1]
I'm searching for phrases
To sing your praises
I need to tell someone
It's soon after midnight
And my day has just begun

[Verse 2]
A gal named Honey
Took my money
She was passing by
It's soon after midnight
And the moon is in my eye

[Verse 3]
My heart is cheerful
It's never fearful
I've been down on the killing floors
I'm in no great hurry
I'm not afraid of your fury
I've faced stronger walls than yours

[Verse 4]
Charlotte's a harlot
Dresses in scarlet
Mary dresses in green
It's soon after midnight
And I've got a date with the fairy queen

[Verse 5]
They chirp and they chatter
What does it matter?
They're lying there dying in their blood
Two-timing Slim
Who's ever heard of him
I'll drag his corpse through the mud

[Verse 6]
It's now or never
More than ever
When I met you I didn't think you would do
It's soon after midnight
And I don't want nobody but you"
494,1964-08-08,Spanish Harlem Incident,Another Side of Bob Dylan,Bob Dylan,"[Verse 1]
Gypsy gal, the hands of Harlem
Cannot hold you to its heat
Your temperature is too hot for taming
Your flaming feet are burning up the street
I'm homeless, come and take me
To the reach of your rattlin' drums
Let me know, babe, all about my fortune
Down along my restless palms

[Verse 2]
Gypsy gal, you got me swallowed
I have fallen far beneath
Your pearly eyes, so fast and slashing
And your flashing diamond teeth
The night is pitch black, come an’ make my
Pale face fit into place, ah, please!
Let me know, babe, I’m nearly drowning
If it’s you my lifelines trace

[Verse 3]
I been wondering all about me
Ever since I seen you there
On the cliffs of your wildcat charms I’m riding
I know I’m around you but I don’t know where
You have slayed me, you have made me
I got to laugh half ways off my heels
I got to know, babe, yeah will you surround me?
So I can know if I’m really real"
495,2006-08-29,Spirit On The Water,Modern Times,Bob Dylan,"[Verse 1]
Spirit on the water
Darkness on the face of the deep
I keep thinking about you baby
I can't hardly sleep

[Verse 2]
I'm traveling by land
Traveling through the dawn of day
You're always on my mind
I can't stay away

[Verse 3]
I'd forgotten about you
Then you turned up again
I always knew
That we were meant to be more than friends

[Verse 4]
When you are near
It's just as plain as it can be
I'm wild about you, gal
You ought to be a fool about me

[Verse 5]
Can't explain
The sources of this hidden pain
You burned your way into my heart
You got the key to my brain

[Verse 6]
I've been trampling through mud
Praying to the powers above
I'm sweating blood
You got a face that begs for love

[Verse 7]
Life without you
Doesn't mean a thing to me
If I can't have you
I'll throw my love into the deep blue sea

[Verse 8]
Sometimes I wonder
Why you can't treat me right
You do good all day
Then you do wrong all night

[Verse 9]
When you're with me
I'm a thousand times happier than I could ever say
What does it matter
What price I pay

[Verse 10]
They brag about your sugar
Brag about it all over town
Put some sugar in my bowl
I feel like laying down

[Verse 11]
I'm pale as a ghost
Holding a blossom on a stem
You ever seen a ghost? No
But you have heard of them

[Verse 12]
I see you there
I'm blinded by the colors I see
I take good care
Of what belongs to me

[Verse 13]
I hear your name
Ringing up and down the line
I'm saying it plain
These ties are strong enough to bind

[Verse 14]
Your sweet voice
Calls out from some old familiar shrine
I got no choice
Can't believe these things would ever fade from your mind

[Verse 15]
I could live forever
With you perfectly
You don't ever
Have to make a fuss over me

[Verse 16]
From East to West
Ever since the world began
I only mean it for the best
I want to be with you any way I can

[Verse 17]
I been in a brawl
Now I'm feeling the wall
I'm going away baby
I won't be back ‘till fall

[Verse 18]
High on the hill
You can carry all my thoughts with you
You've numbed my will
This love could tear me in two

[Verse 19]
I wanna be with you in paradise
And it seems so unfair
I can't go to paradise no more
I killed a man back there

[Verse 20]
You think I'm over the hill
You think I'm past my prime
Let me see what you got
We can have a whoppin' good time"
496,,Stage Fright,,Bob Dylan,"Now deep in the heart of a lonely kid
Who suffered so much for what he did
They gave this ploughboy his fortune and fame
Since that day he ain't been the same

See the man with the stage fright
Just standin' up there to give it all his might
And he got caught in the spotlight
But when we get to the end
He wants to start all over again

I've got fire water right on my breath
And the doctor warned me I might catch a death
Said, ""You can make it in your disguise
Just never show the fear that's in your eyes""

See the man with the stage fright
Just standin' up there to give it all his might
He got caught in the spotlight
But when we get to the end
He wants to start all over again

Now if he says that he's afraid
Take him at his word
And for the price that the poor boy has paid
He gets to sing just like a bird, oh, ooh ooh ooh

Your brow is sweatin' and your mouth gets dry
Fancy people go driftin' by
The moment of truth is right at hand
Just one more nightmare you can stand

See the man with the stage fright
Just standin' up there to give it all his might
And he got caught in the spotlight
But when we get to the end
He wants to start all over again, hmm hmm
You wanna try it once again, hmm hmm
Please don't make him stop, hmm hmm
Let him take it from the top, hmm hmm
Let him start all over again"
497,,Stage Fright - Remastered,,Bob Dylan,"Now, deep in the heart of a lonely kid
Who suffered so much for what he did
Gave this ploughboy his fortune and fame
Since that day he ain't been the same
See, the man with the stage fright
Just standin' up there to give it all his might
He got caught in the spotlight
But when we get to the end
He wants to start all over again
I've got fire water right on my breath
The doctor warned me I might catch a death
Said, ""You can make it in your disguise
Just never show the fear that's in your eyes""
See, the man with the stage fright
Just standin' up there to give it all his might
He got caught in the spotlight
But when we get to the end
He wants to start all over again
Now, when he says that he's afraid
Won't you take the man his word
And for the price that the poor boy has paid
He gets to sing just like a bird
My brow is sweatin' and the mouth gets dry
Fancy people go driftin' by
The moment of truth is right at hand
Just one more nightmare you could stand
See the man with the stage fright
Just standin' up there to give it all his might
And he got caught in the spotlight
But when we get to the end
He wants to start all over again
No, no, no please don't make him stop
Yeah, let him take it from the top
Oh, let him start all over again, yeah, yeah, yeah"
